,designatedArea,incidentType
37287,Mohave ,Hurricane
37293,Pima ,Hurricane
37294,Cochise ,Hurricane
37301,Yavapai ,Hurricane
37302,La Paz ,Hurricane
37303,Coconino ,Hurricane
37306,Maricopa ,Hurricane
37312,Navajo ,Hurricane
37315,Greenlee ,Hurricane
37317,Santa Cruz ,Hurricane
37318,Pinal ,Hurricane
37319,Yuma ,Hurricane
37336,Graham ,Hurricane
37340,Gila ,Hurricane
37416,Apache ,Hurricane
40020,Apache ,Severe Storm(s)
40029,Coconino ,Severe Storm(s)
40096,Hopi Indian Reservation,Severe Storm(s)
40104,Navajo Nation Reservation (Also NM and UT,Severe Storm(s)
40107,Navajo ,Severe Storm(s)
44517,Navajo Nation Reservation (Also NM and UT,Freezing
45722,La Paz ,Flood
45739,Maricopa ,Flood
48658,Havasupai Indian Reservation,Flood
49548,Tohono O'odham Reservation and Trust Lands,Severe Storm(s)
49742,Navajo Nation Reservation (Also NM and UT,Severe Storm(s)
49980,Yavapai ,Fire
49997,Mohave ,Fire
50005,Yavapai ,Fire
50055,Pinal ,Fire
50072,Mohave ,Fire
50074,Coconino ,Fire
50086,Yavapai ,Fire
50088,Pinal ,Fire
50102,Cochise ,Fire
50105,Yavapai ,Fire
50179,Coconino ,Fire
50190,Yavapai ,Fire
50409,Coconino ,Fire
52816,Statewide,Biological
52983,Cocopah Indian Reservation,Biological
52984,Colorado River Indian Reservation (Also CA,Biological
52985,White Mountain Apache Tribe,Biological
52986,Fort McDowell Indian Reservation,Biological
52987,Fort Mojave Indian Reservation (Also CA,Biological
52988,Fort Yuma (Quechan) Indian Reservation (Also CA,Biological
52989,Havasupai Indian Reservation,Biological
52990,Gila River Indian Reservation,Biological
52991,Hopi Indian Reservation,Biological
52992,Kaibab Indian Reservation,Biological
52993,Maricopa Indian Reservation (Ak Chin,Biological
52994,Hualapai Indian Reservation,Biological
52995,Navajo Nation Reservation (Also NM and UT,Biological
52996,Pascua Yaqui Indian Reservation,Biological
52997,San Carlos Indian Reservation,Biological
52998,Salt River Indian Reservation,Biological
52999,Tohono O'odham Reservation and Trust Lands,Biological
53000,Tonto Apache Reservation,Biological
53001,Yavapai-Apache Nation Indian Reservation,Biological
53002,Yavapai Indian Reservation,Biological
53003,Zuni Pueblo (Indian Reservation,Biological
53004,Apache ,Biological
53005,Cochise ,Biological
53006,Coconino ,Biological
53007,Gila ,Biological
53008,Graham ,Biological
53009,Greenlee ,Biological
53010,La Paz ,Biological
53011,Maricopa ,Biological
53012,Mohave ,Biological
53013,Santa Cruz ,Biological
53014,Navajo ,Biological
53015,Pima ,Biological
53016,Pinal ,Biological
53017,Yavapai ,Biological
53018,Yuma ,Biological
58280,Cocopah Indian Reservation,Biological
58281,Colorado River Indian Reservation (Also CA,Biological
58282,White Mountain Apache Tribe,Biological
58283,Fort McDowell Indian Reservation,Biological
58284,Fort Mojave Indian Reservation (Also CA,Biological
58285,Fort Yuma (Quechan) Indian Reservation (Also CA,Biological
58286,Gila River Indian Reservation,Biological
58287,Havasupai Indian Reservation,Biological
58288,Hopi Indian Reservation,Biological
58289,Hualapai Indian Reservation,Biological
58290,Kaibab Indian Reservation,Biological
58291,Navajo Nation Reservation (Also NM and UT,Biological
58292,Maricopa Indian Reservation (Ak Chin,Biological
58293,Pascua Yaqui Indian Reservation,Biological
58294,Salt River Indian Reservation,Biological
58295,San Carlos Indian Reservation,Biological
58296,Tohono O'odham Reservation and Trust Lands,Biological
58297,Tonto Apache Reservation,Biological
58298,Yavapai-Apache Nation Indian Reservation,Biological
58299,Yavapai Indian Reservation,Biological
58300,Zuni Pueblo (Indian Reservation,Biological
58301,Cochise ,Biological
58302,Apache ,Biological
58303,Coconino ,Biological
58304,Gila ,Biological
58305,Greenlee ,Biological
58306,Graham ,Biological
58307,La Paz ,Biological
58308,Maricopa ,Biological
58309,Mohave ,Biological
58310,Navajo ,Biological
58311,Pima ,Biological
58312,Pinal ,Biological
58313,Santa Cruz ,Biological
58314,Yavapai ,Biological
58315,Yuma ,Biological
