,DATE,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
0,2010-01-01,10.3,21.4,31.1,15.0,13.4,13.4,9.0,29.0,12.0,14.4,29.6,17.9,17.3,23.7,13.3
1,2011-01-01,10.1,21.9,31.5,15.5,14.4,11.9,9.3,29.1,12.2,14.3,29.5,18.1,18.0,24.2,13.9
2,2012-01-01,10.3,22.4,30.7,15.6,12.9,12.4,10.0,29.5,12.2,14.6,29.4,18.3,19.3,24.4,14.2
3,2013-01-01,10.4,22.5,31.1,16.1,12.3,11.1,9.3,29.8,11.9,14.9,29.8,18.0,19.8,24.2,14.3
4,2014-01-01,10.1,23.1,32.8,17.1,13.6,11.8,10.2,30.0,12.2,14.5,30.1,17.8,22.0,24.9,14.0
5,2015-01-01,10.8,22.9,33.6,16.7,13.2,10.8,9.9,30.4,11.8,14.7,30.3,18.0,22.0,25.6,14.4
6,2016-01-01,11.1,23.2,34.2,17.7,13.3,12.2,10.4,31.0,11.9,14.5,30.8,18.5,22.5,25.5,14.4
7,2017-01-01,11.5,23.6,35.4,19.0,14.1,12.1,11.2,31.4,12.3,15.5,31.6,18.6,22.1,25.0,14.3
8,2018-01-01,11.7,23.0,35.6,18.5,15.3,11.9,12.4,32.0,12.9,15.8,31.9,19.0,21.0,25.2,14.8
