,COUNTY,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3,Maricopa ,280556.0,281990.0,282863.0,283668.0,284690.0,285989.0,286114.0,287033.0,287922.0,289855.0,291701.0,293069.0,293854.0,295032.0,296507.0,297810.0,298830.0,300301.0,302393.0,303651.0,305138.0,306563.0,308372.0,309806.0,311645,314013,316247,318517,320688,322555,323951,325238,326800,328082,328941,329969,330960,332053,333397,334385,335596,336845,338426,340409,342088,343888,345927,348227,350520,352503
40,Pima ,223246.0,224403.0,225347.0,226156.0,227392.0,227633.0,229196.0,230581.0,231957.0,232730.0,233781.0,235210.0,236671.0,237975.0,239162.0,239798.0,240548.0,242014.0,243310.0,244854.0,246120.0,247392.0,248442.0,249583.0,250536,251656,253216,255156,256835,257998,259020,260033,261486,263077,264185,263901,264881,266068,267625,268275,269144,270324,271475,272557,273432,274311,275649,277956,279366,280568
174,Pinal ,176563.0,179063.0,180627.0,182213.0,182792.0,183893.0,184531.0,185704.0,187024.0,188468.0,189979.0,190886.0,191318.0,191366.0,192032.0,194014.0,195928.0,197240.0,198854.0,199757.0,200655.0,201797.0,203109.0,204688.0,206086,207941,210674,211415,212553,213857,215314,216764,218631,220378,222690,224334,227016,228300,228710,229653,231119,232655,233995,235620,236932,238212,238959,240255,240939,242577
292,Yavapai ,342286.0,342931.0,343785.0,343612.0,344489.0,346730.0,349195.0,352686.0,354925.0,357022.0,358181.0,359853.0,361417.0,364184.0,366659.0,369745.0,371729.0,373024.0,374862.0,377158.0,379847.0,381979.0,384913.0,386864.0,389867,391994,394975,396591,398909,400923,403172,404683,406289,408783,411698,415413,416708,417568,417747,419225,420858,422773,424203,425790,427344,428531,429152,429582,431370,433761
310,Mohave ,240812.0,241401.0,242048.0,241758.0,242116.0,242840.0,244032.0,244631.0,245341.0,246540.0,248080.0,249026.0,249095.0,249888.0,250983.0,252522.0,254260.0,255609.0,256579.0,256940.0,257684.0,259062.0,260465.0,261830.0,263332,264532,266069,268475,270690,272869,274288,276834,279470,281755,284412,286851,289014,290545,291909,292948,294001,295302,297407,299137,300655,302110,303233,304744,306648,309171
317,Yuma ,185343.0,184374.0,184889.0,186455.0,187181.0,187536.0,186962.0,186431.0,186818.0,187610.0,188302.0,189744.0,192388.0,195300.0,196864.0,196379.0,196514.0,196737.0,197562.0,197503.0,198345.0,199510.0,200889.0,201722.0,201604,201432,201856,202516,203208,203836,205137,206731,207612,207990,207696,206505,205033,205759,207270,209672,210621,211705,212175,212853,213454,214220,215416,217494,220010,220731
457,Coconino ,403195.0,402017.0,402362.0,405391.0,408856.0,410649.0,412690.0,415045.0,418236.0,420964.0,423459.0,425026.0,428035.0,429068.0,431150.0,431207.0,432509.0,433251.0,433598.0,434147.0,434208.0,435786.0,436952.0,438741.0,440544,444484,446772,449024,448225,449479,450090,452277,454394,456723,458988,460988,462317,462749,463821,465198,468444,470479,473020,474089,475242,475524,475994,476536,477297,478028
470,Cochise ,189170.0,189464.0,189723.0,189789.0,189573.0,189340.0,189216.0,189709.0,190535.0,191395.0,192379.0,193492.0,194302.0,194918.0,195286.0,195967.0,196697.0,197460.0,198285.0,198665.0,199038.0,199261.0,200049.0,200104.0,200299,200316,201082,201953,203006,204045,204878,205598,206254,207121,207573,208515,209473,211068,212348,213591,214594,215675,216942,218484,220124,221728,223494,225224,226991,228451
548,Navajo ,254314.0,255702.0,257151.0,257941.0,258869.0,260135.0,261673.0,263608.0,264758.0,266003.0,266773.0,267635.0,268612.0,270100.0,271699.0,273579.0,275214.0,276034.0,276755.0,275945.0,276655.0,277434.0,279671.0,281264.0,282671,284028,285604,287468,288892,290714,291375,292921,293654,295072,296668,298503,300391,301456,302202,302607,303795,304994,307096,309202,311381,312999,313877,314912,316038,317816
743,Apache ,187534.0,188180.0,188799.0,190580.0,193219.0,196281.0,199646.0,202449.0,205361.0,207790.0,209987.0,211108.0,210400.0,210358.0,211066.0,212320.0,212332.0,209674.0,207678.0,206356.0,207325.0,207769.0,208541.0,209905.0,213684,217230,220844,223058,224512,225726,225951,227655,228510,229626,230341,231098,230498,229080,227092,226099,226067,227343,228907,229099,228747,228530,228501,228404,228569,229404
