,COUNTY,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3,Maricopa ,211201.0,212564.0,213466.0,214388.0,215578.0,216984.0,217504.0,218608.0,219766.0,221627.0,223384.0,224788.0,225779.0,227070.0,228587.0,230048.0,231267.0,232750.0,234607.0,235699.0,236960.0,238195.0,239863.0,241223.0,242855,244843,246667,248463,250023,251402,252551,253671,255016,256017,256840,257652,258520,259453,260727,261776,263061,264384,265921,267812,269461,271333,273237,275491,277723,279780
40,Pima ,169040.0,170157.0,170941.0,171618.0,172525.0,172758.0,173972.0,175079.0,176189.0,176818.0,177712.0,178766.0,179838.0,180876.0,182007.0,182738.0,183560.0,184884.0,186076.0,187518.0,188684.0,189962.0,190936.0,192070.0,192949,193907,195220,196830,198295,199312,200192,201004,202180,203415,204370,204205,205143,206290,207701,208383,209193,210302,211428,212519,213471,214423,215727,217815,219167,220339
174,Pinal ,155125.0,157375.0,158802.0,160421.0,161097.0,162241.0,162926.0,164114.0,165520.0,166977.0,168445.0,169334.0,169876.0,170002.0,170714.0,172409.0,174210.0,175529.0,177132.0,178026.0,178816.0,179872.0,180950.0,182258.0,183266,184874,187297,188105,189172,190370,191651,193080,194916,196688,199008,200728,203515,204891,205417,206392,207847,209347,210721,212256,213516,214690,215424,216662,217289,218803
292,Yavapai ,249811.0,250660.0,251633.0,251691.0,252413.0,254433.0,256564.0,259489.0,261072.0,262851.0,263872.0,265459.0,266676.0,269051.0,271385.0,274352.0,276456.0,277764.0,279386.0,281220.0,283581.0,285299.0,287748.0,289229.0,291470,292924,294775,295703,297197,298734,300712,302118,303709,306040,308353,310899,311248,311464,311393,312507,313600,314818,315596,316652,317644,318453,319124,320095,322521,325350
311,Mohave ,182459.0,183085.0,183707.0,183508.0,183831.0,184405.0,185451.0,186180.0,186917.0,188108.0,189407.0,190354.0,190641.0,191808.0,193280.0,195152.0,197167.0,198810.0,199983.0,200623.0,201703.0,203307.0,205002.0,206533.0,208056,209207,210437,212387,213964,215693,216856,219115,221534,223645,226109,228144,229838,230938,232132,233111,234293,235568,237551,239101,240395,241666,242659,244237,246320,249014
318,Yuma ,126318.0,125820.0,126451.0,127869.0,128530.0,128805.0,128520.0,128257.0,128783.0,129597.0,130296.0,131390.0,133230.0,135159.0,136052.0,135650.0,135842.0,136273.0,137047.0,137205.0,137909.0,138771.0,139766.0,140439.0,140652,140909,141610,142488,143333,144172,145314,146565,147198,147661,147712,147018,145981,146410,147500,149088,149668,150261,150579,151138,151738,152347,153229,154831,156786,157533
458,Coconino ,301354.0,300689.0,301321.0,303793.0,306582.0,307869.0,309897.0,311959.0,314419.0,316785.0,318854.0,320684.0,323566.0,325044.0,327163.0,327621.0,329347.0,330650.0,331611.0,332696.0,333597.0,335364.0,336411.0,337397.0,338795,342104,344315,346639,346579,347714,348048,349490,350995,352026,353059,354218,355478,356012,356928,357732,359743,361201,363167,364088,364841,365433,366306,367097,367373,367468
471,Cochise ,133223.0,133393.0,133490.0,133585.0,133760.0,133850.0,133980.0,134177.0,134611.0,135188.0,135668.0,136272.0,136700.0,137293.0,137799.0,138420.0,139035.0,139634.0,140205.0,140575.0,141029.0,141537.0,142435.0,142706.0,143124,143302,144087,144711,145260,145714,146152,146814,147666,148600,149282,150213,151105,152374,153345,154454,155559,156769,158031,159227,160261,161230,162278,163391,164519,165466
549,Navajo ,197046.0,197909.0,199105.0,199862.0,200818.0,201719.0,202828.0,203906.0,204553.0,205009.0,205232.0,205726.0,206448.0,207319.0,208072.0,209355.0,210543.0,211451.0,212096.0,212046.0,212872.0,214045.0,215926.0,217288.0,218451,219685,221057,222320,223495,225169,226522,228225,229388,230725,232313,234182,236123,237501,238621,239515,240788,241777,243084,244452,245873,246995,247561,248073,248538,249346
744,Apache ,141844.0,142694.0,143425.0,144406.0,145897.0,147943.0,150236.0,151950.0,153186.0,153892.0,154659.0,155104.0,154842.0,154904.0,154899.0,155601.0,155677.0,154173.0,153053.0,152012.0,153153.0,153434.0,154220.0,154903.0,156611,158273,159893,160937,161314,162134,162597,164101,164549,165607,165996,166595,166186,165629,164936,164697,165047,165682,166319,166237,165987,165835,165939,166025,166520,167120
