,COUNTY,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3,Maricopa ,116778.0,117590.0,118242.0,118984.0,119876.0,120927.0,121344.0,122096.0,122845.0,124157.0,125255.0,126121.0,126722.0,127589.0,128282.0,128980.0,129619.0,130717.0,132065.0,133102.0,134289.0,135392.0,136604.0,137617.0,138849,140290,141875,143470,144956,146182,147305,148299,149469,150316,151132,151973,152892,153818,154816,155556,156431,157272,158216,159384,160334,161497,162701,164078,165340,166461
40,Pima ,85307.0,85963.0,86490.0,86956.0,87486.0,87623.0,88201.0,88574.0,89065.0,89357.0,89647.0,90025.0,90153.0,90409.0,90976.0,91482.0,92009.0,92832.0,93951.0,95519.0,96848.0,97988.0,99296.0,100979.0,102654,103895,105080,106506,108075,109168,109936,110388,111210,112050,112727,112457,112980,113820,114881,115399,115881,116710,117562,118476,119226,120111,121066,122581,123547,124502
174,Pinal ,85690.0,86518.0,86858.0,87201.0,87257.0,87578.0,87744.0,87865.0,88148.0,88917.0,89960.0,90696.0,90689.0,90493.0,90910.0,91984.0,92604.0,92833.0,93424.0,94107.0,94601.0,95289.0,95962.0,96892.0,97175,97712,98338,98704,99360,100078,100715,101490,102606,103511,104532,105102,107345,108481,109534,109928,111059,112337,113578,114734,115766,116840,117839,119214,119800,121264
292,Yavapai ,137490.0,138417.0,138955.0,138803.0,139322.0,140490.0,141797.0,143240.0,144428.0,145628.0,146272.0,146960.0,146696.0,147442.0,148721.0,151188.0,153177.0,154335.0,155427.0,156724.0,158338.0,159473.0,161387.0,162404.0,164829,166335,168480,169096,169669,170195,171255,172626,174009,175573,176800,178186,177972,178066,177873,178787,179507,180533,181154,181373,181432,181577,181659,182053,183100,184156
311,Mohave ,69305.0,69540.0,69396.0,68855.0,68609.0,68870.0,69060.0,69435.0,69952.0,70791.0,71472.0,71838.0,71680.0,72071.0,72924.0,74055.0,74979.0,75515.0,76141.0,76498.0,77061.0,77709.0,78661.0,79437.0,79988,80149,80342,80810,80968,81217,81413,82324,83574,84453,85388,86320,87521,88428,89090,89598,90688,91844,93053,93843,94269,94970,95564,96411,97325,98645
318,Yuma ,88399.0,87316.0,87431.0,88010.0,88461.0,88522.0,88358.0,87996.0,88094.0,88025.0,88006.0,88432.0,89124.0,90114.0,90341.0,90189.0,89783.0,89611.0,89944.0,90251.0,90761.0,91411.0,91822.0,92100.0,92063,92543,93090,93441,93920,94611,95627,96400,96711,96929,96892,96199,95415,95535,96528,97772,98363,98823,98880,99220,99751,100353,101292,102814,104544,105255
457,Coconino ,148166.0,147933.0,148435.0,149212.0,149871.0,149571.0,149185.0,149296.0,149873.0,150861.0,151190.0,151534.0,152792.0,153447.0,154860.0,155904.0,157522.0,159011.0,160321.0,162311.0,163935.0,166113.0,168377.0,170295.0,171624,173752,175500,177100,177447,177378,177634,177836,178557,177949,177237,176823,177057,176822,176159,175748,176047,176859,177487,177711,177635,178191,178898,179582,179953,180485
470,Cochise ,79537.0,79923.0,80204.0,79708.0,79643.0,79344.0,79659.0,79788.0,79988.0,80084.0,80014.0,79812.0,79595.0,79719.0,80174.0,80564.0,80666.0,80522.0,80463.0,80908.0,81465.0,82345.0,83230.0,84106.0,84637,84920,84633,84359,83504,83430,82970,82876,83098,83274,83633,84064,85073,86305,87620,89047,91212,92984,94974,96510,97746,98958,100135,101360,102320,103204
548,Navajo ,84761.0,84876.0,85261.0,85487.0,85937.0,86106.0,86409.0,86445.0,86577.0,86574.0,86683.0,86742.0,87178.0,87569.0,87939.0,88639.0,89103.0,89594.0,90122.0,90856.0,91894.0,92890.0,94021.0,94856.0,95616,96369,97293,97830,98088,98378,98428,99161,99572,100186,100794,101932,102974,103591,103990,104581,105650,106730,107954,108544,109223,109798,110293,110534,110803,111433
738,Apache ,74626.0,74461.0,73097.0,72974.0,73890.0,74348.0,74605.0,75864.0,78632.0,80006.0,80192.0,79073.0,78607.0,79385.0,81286.0,82473.0,82464.0,82016.0,82323.0,82879.0,83967.0,84435.0,85916.0,86720.0,88311,89320,90534,91638,92271,92890,93690,94286,94723,95648,96744,98255,99527,100334,100788,100990,102044,103304,103855,104006,103440,102925,101749,100687,99065,97641
912,Gila ,120469.0,121149.0,121623.0,122339.0,122603.0,123223.0,123529.0,124338.0,125053.0,126009.0,126787.0,127499.0,128202.0,129393.0,130598.0,131135.0,132580.0,133556.0,135374.0,136100.0,137084.0,137639.0,137813.0,137983.0,138064,138477,139219,139898,140836,141839,142696,144323,146121,148294,149613,150778,152267,152874,153163,153651,153911,154301,154488,154595,154519,154336,155124,156063,156818,157977
1000,Santa Cruz ,114814.0,114562.0,114348.0,114830.0,115438.0,115557.0,115885.0,116353.0,117164.0,118123.0,119061.0,119608.0,120253.0,121203.0,121743.0,121874.0,121772.0,122605.0,123443.0,124547.0,125499.0,126617.0,127417.0,128250.0,128867,129626,130470,131310,132571,133454,134163,134548,134945,135402,135973,136910,137505,137966,138353,139046,139464,139782,140148,140586,141009,141265,141573,141618,141987,142305
1207,Graham ,80424.0,81253.0,81752.0,81518.0,81416.0,81483.0,81680.0,81871.0,82352.0,83003.0,83383.0,83863.0,83783.0,83493.0,84054.0,85004.0,85890.0,86028.0,86005.0,86305.0,86218.0,86124.0,86557.0,86897.0,86983,87270,87304,87778,87469,87588,87656,88005,88562,88711,89042,88878,88892,88353,87819,87265,87248,87256,87387,87230,87103,87294,87206,87570,88080,89028
1751,La Paz ,75300.0,75469.0,75677.0,75699.0,75880.0,76097.0,76179.0,76284.0,76244.0,76472.0,76380.0,76465.0,76615.0,77204.0,77812.0,78469.0,78920.0,79250.0,79688.0,79968.0,80347.0,80521.0,81467.0,82419.0,83418,83771,84083,84500,84851,85207,85627,86143,86685,87134,87422,87724,87711,87592,87302,87091,87154,87240,87245,87255,87238,87351,87278,87173,87291,87746
2375,Greenlee ,45640.0,46157.0,46545.0,47283.0,47760.0,48100.0,48212.0,48014.0,47692.0,47319.0,46986.0,46448.0,45769.0,44792.0,43781.0,42712.0,41877.0,41145.0,40760.0,40767.0,40916.0,41024.0,41033.0,41195.0,41636,42332,43163,44044,45181,46147,46510,46667,46542,46560,46412,46740,46716,46931,46913,47382,47325,47410,47836,48347,49022,49650,50419,50907,51606,52098
