,DATE,Apache,Cochise,Coconino,Gila,Graham,Greenlee,La Paz,Maricopa,Mohave,Navajo,Pima,Pinal,Santa Cruz,Yavapai,Yuma
0,2009-01-01,27.150304328223623,18.85585433345303,17.964265860607323,19.489956914861335,19.708365310821183,15.067169069462647,15.622130758271329,25.99838761938103,19.673707210487983,22.04030226700252,23.888135790156568,31.71283344871077,18.899186753608326,21.13766442413897,19.544490693473648
1,2010-01-01,26.41551355608055,19.466187137575012,18.033897732265373,18.850944389217005,19.563598579963628,14.839521711768407,14.591977869986167,25.748755023359355,19.36609565807327,21.785990596917216,23.89214269795999,32.389824031128946,18.99084048248726,21.668119304272043,19.10522623117228
2,2011-01-01,28.013158625284554,19.636771023906924,18.11010367012234,19.28760126805213,19.596697910396426,15.154793608521972,14.735257795615931,25.569534518552214,19.467032414654813,22.243460138729038,24.013984693620664,32.1014037115084,18.91947823905681,21.917638993092385,19.082059963469504
3,2012-01-01,29.009009009009013,19.14565855486396,18.38199167766841,20.803016077925125,20.600240096038412,15.182516810758884,13.124002553463134,25.411135968799638,19.209532223423864,22.7978210972101,24.05302973012488,31.313659610387457,19.64213262330417,22.026250264886627,19.091666542679025
4,2013-01-01,30.02657884093141,18.90469761849516,18.665764365799454,20.848274645817405,22.196498905908093,17.510902381751087,12.41468963275918,25.355365286075358,18.893790900350467,22.28099764898293,23.98911055014461,31.113233154810768,19.84101798270176,22.207042498761066,18.810688166358272
5,2014-01-01,30.055437603208304,18.934021640729405,18.25777636253939,20.70260466222645,21.811561425728243,17.696489593041317,12.132442284325638,25.369175364259466,19.25108002308208,22.60774751880216,24.23955589629146,31.32575696988116,20.69290432042659,22.92606797502959,19.01596895646404
6,2015-01-01,28.829141881147297,19.33951745975115,18.681153219569193,21.02123295934371,21.33170599403309,18.452872104093935,11.678093932122044,25.46889642091745,19.340347782258068,22.323473447500433,24.4133224051112,31.187970045638615,21.655440894766112,23.175858889883127,18.877293301360726
7,2016-01-01,27.95632930067867,19.50550325192159,18.136266271214367,19.7257957359425,21.747681056011416,18.25517836593786,12.314847009735743,25.599117693434852,19.79667370145211,21.907366638442003,24.43336033150786,31.09185382303686,22.740973119271693,23.12681034253674,18.99515284509937
8,2017-01-01,26.724270580576434,20.487389075801026,18.3991666940061,18.72586175780545,20.90984104924868,17.838592571907288,12.882141019042717,25.8008337736738,20.435378787878786,21.632740307145916,24.548095023334252,31.038815588745265,23.453931353456674,23.219731474513846,19.62464024645651
9,2018-01-01,26.313509371684546,20.597975350114623,18.381420341772767,19.274506294373843,20.509615384615387,15.857181064455734,13.688592839300584,26.00354758630853,20.77646358699695,21.438076416337285,24.70760918353065,31.068641170275693,22.8398265754763,23.378394340687464,20.020837192072605
