,COUNTY,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
3,Maricopa ,400401.0,401949.0,402894.0,403561.0,404449.0,405707.0,405387.0,406167.0,406938.0,408875.0,410680.0,411710.0,412228.0,413383.0,414834.0,416111.0,417104.0,418904.0,421448.0,422969.0,424700.0,426429.0,428563.0,430270.0,432285,434940,437432,439863,442282,444347,446340,448050,450078,451354,452393,453641,454988,456320,458119,459629,461128,462507,463897,465826,467378,469339,471345,473612,475714,477428
40,Pima ,317981.0,319429.0,320609.0,321400.0,323135.0,323200.0,324863.0,326281.0,328027.0,329011.0,330040.0,331215.0,332526.0,333958.0,335283.0,335639.0,336330.0,338032.0,339815.0,341539.0,342973.0,344201.0,345678.0,347399.0,348841,350237,351909,354410,356229,357703,358875,360310,362207,364273,365642,364991,365848,367101,369221,370219,371419,372801,374108,375302,376210,377231,378686,381553,383346,384836
174,Pinal ,210682.0,213613.0,215314.0,216972.0,217538.0,218843.0,219613.0,220787.0,222221.0,223884.0,225582.0,226402.0,226606.0,226217.0,226680.0,228470.0,230376.0,231684.0,233573.0,234536.0,235425.0,236339.0,237504.0,238976.0,240596,242834,246093,246990,248206,249542,251039,252693,254613,256664,259156,261205,264133,265430,265545,266321,267826,269374,270574,272048,273351,274507,275207,276295,276745,278252
292,Yavapai ,422231.0,423341.0,424318.0,424035.0,425123.0,427976.0,431874.0,435914.0,438221.0,439886.0,441429.0,443715.0,445659.0,449109.0,452158.0,456160.0,457720.0,458272.0,458970.0,461222.0,464329.0,467583.0,471589.0,474682.0,478357,480974,483826,485262,487832,491026,494285,496471,497559,500023,502529,506344,507416,508274,509051,510914,513210,515115,516641,518172,520417,521649,522450,522554,524539,526962
310,Mohave ,347624.0,346705.0,346617.0,346148.0,345804.0,346460.0,347498.0,348357.0,350030.0,352188.0,354708.0,355913.0,356232.0,357615.0,359525.0,360813.0,361903.0,362313.0,363142.0,363361.0,363654.0,365205.0,366925.0,369162.0,372178,374639,377339,381093,385013,389381,391873,395147,398073,400159,403744,407214,411447,413666,415513,416472,418245,419857,422795,425505,428315,431070,432470,434102,434953,437583
317,Yuma ,177304.0,176514.0,177095.0,178613.0,179527.0,180116.0,179973.0,179839.0,180706.0,181493.0,182015.0,183117.0,185399.0,187861.0,189065.0,188519.0,188690.0,189116.0,189809.0,189515.0,190138.0,191416.0,193112.0,194226.0,193992,193915,194628,195784,196578,197158,198511,200169,200844,200998,200684,199725,198777,199528,200890,202906,203769,204786,205253,205992,206850,207821,209016,210975,213355,214260
457,Coconino ,510939.0,508682.0,508021.0,511446.0,514717.0,516434.0,517153.0,519273.0,522417.0,524784.0,527446.0,529167.0,533719.0,534930.0,536731.0,535725.0,536122.0,537473.0,538450.0,539789.0,539868.0,542666.0,544476.0,547384.0,549616,555141,558239,562049,562557,565181,566589,568154,568999,570614,573564,577000,578581,578816,580090,581494,585025,586459,589055,590964,593753,594688,594857,594252,594834,595428
470,Cochise ,248351.0,249022.0,250732.0,253596.0,254564.0,254044.0,251958.0,251185.0,251240.0,251880.0,251821.0,251034.0,250681.0,251407.0,252718.0,254167.0,255113.0,255083.0,255141.0,255252.0,255686.0,255720.0,256198.0,255674.0,255793,255941,256926,258019,259337,261334,262945,263897,264582,264864,264919,265915,266880,268609,269462,270157,270755,271722,273358,275410,277483,280074,282894,285767,288464,290522
548,Navajo ,306579.0,306977.0,308025.0,309355.0,311164.0,312876.0,314011.0,316278.0,317523.0,320415.0,321651.0,323527.0,325198.0,327900.0,330433.0,331446.0,331784.0,330546.0,330454.0,328395.0,328766.0,328610.0,331055.0,332649.0,334204,335662,337485,340146,341419,344205,344879,347339,347847,350035,351796,353423,355533,356713,357679,358278,360542,362348,365314,367590,370424,371914,372817,374168,375284,377035
743,Apache ,180220.0,180311.0,180492.0,181717.0,185261.0,189644.0,193485.0,196841.0,200265.0,204487.0,207393.0,209375.0,211146.0,215301.0,220217.0,223418.0,225404.0,226762.0,229811.0,231429.0,233964.0,233306.0,234533.0,236920.0,243671,250752,257296,262686,265561,267516,268082,272322,275601,279279,282413,284210,284925,283189,282041,281539,282758,284572,286241,285515,284513,284306,283442,282821,280363,278736
923,Gila ,378939.0,381036.0,382890.0,383881.0,384733.0,385465.0,386971.0,387588.0,389351.0,391677.0,393957.0,395497.0,396856.0,395190.0,392924.0,393749.0,396380.0,399278.0,399576.0,400395.0,400304.0,399495.0,400965.0,404080.0,407089,410720,415883,420471,422234,420575,419745,418856,418878,418094,419430,420093,421802,422343,422962,422357,422863,425727,428892,431826,434116,437119,437200,437051,436144,436447
1013,Santa Cruz ,225440.0,226798.0,227941.0,229608.0,230786.0,231666.0,232409.0,233592.0,235621.0,237935.0,240245.0,241740.0,243450.0,244682.0,245392.0,244932.0,245588.0,246800.0,249155.0,250349.0,251157.0,250994.0,250844.0,251025.0,251371,252159,253455,255432,256686,257361,257369,257531,257666,257882,259068,259940,261357,262549,263881,265038,266039,267248,268374,269761,271100,272709,273505,274465,274825,275170
1227,Graham ,228613.0,228347.0,228526.0,230027.0,231703.0,232866.0,234010.0,235556.0,237134.0,238743.0,240384.0,242279.0,244366.0,246481.0,248081.0,249807.0,251705.0,254006.0,256026.0,257412.0,259177.0,260747.0,262637.0,264479.0,265802,267080,268474,270416,271112,271098,270851,271266,271961,272929,273937,274919,276075,276899,277358,277100,277966,279182,280661,281807,282530,283102,283454,283753,284171,284847
1810,La Paz ,647906.0,653376.0,660073.0,663551.0,667739.0,670338.0,672010.0,671916.0,672723.0,675930.0,678704.0,680505.0,680149.0,682973.0,685919.0,690787.0,694916.0,699155.0,702248.0,707576.0,713253.0,719724.0,725371.0,731398.0,738428,742342,745866,749234,753770,757719,762260,764600,768157,769749,773549,776973,781952,785757,789011,790866,793434,796714,800286,804750,807874,811633,814144,816954,818328,821555
2513,Greenlee ,165939.0,166504.0,166974.0,167293.0,168116.0,168747.0,170070.0,170631.0,172329.0,174365.0,176266.0,177780.0,180965.0,184088.0,187525.0,189860.0,191157.0,192587.0,193662.0,196155.0,197734.0,198873.0,200003.0,201857.0,202699,203999,204458,206222,207766,209141,211032,212657,214552,215260,216220,217562,218846,219500,219539,219517,220451,221404,221933,222027,222136,223307,224338,224770,225404,226296
